Protocol,Time,Model
tcp, 14.7124910355, rnn
tcp, 13.7422661781, rnn
tcp, 16.774903059, rnn
tcp, 17.8092441559, rnn
tcp, 15.2222571373, rnn
tcp, 18.5559580326, rnn
tcp, 14.585780859, rnn
tcp, 15.6166729927, rnn
tcp, 13.6509869099, rnn
tcp, 12.6737828255, rnn
udp, 13.4377868176, rnn
udp, 15.4772748947, rnn
udp, 11.6221427917, rnn
udp, 12.6488909721, rnn
udp, 13.6686837673, rnn
udp, 14.6834359169, rnn
udp, 15.7018909454, rnn
udp, 14.7224419117, rnn
udp, 15.7485637665, rnn
udp, 12.8146178722, rnn
icmp, 13.3580121994, rnn
icmp, 14.3767940998, rnn
icmp, 15.3964099884, rnn
icmp, 11.5612940788, rnn
icmp, 12.5807490349, rnn
icmp, 14.5992569923, rnn
icmp, 14.6145961285, rnn
icmp, 15.6311621666, rnn
icmp, 13.6478140354, rnn
icmp, 12.1662561893, rnn
icmp, 8.62104606628, knn
icmp, 8.84701490402, knn
icmp, 10.3182120323, knn
icmp, 9.50780701637, knn
icmp, 11.940418005, knn
icmp, 9.13272094727, knn
icmp, 10.6509990692, knn
icmp, 9.84066295624, knn
icmp, 10.3641748428, knn
icmp, 9.55714702606, knn
icmp, 10.6382939816, lr
icmp, 9.76247191429, lr
icmp, 9.80819487572, lr
icmp, 10.9669640064, lr
icmp, 11.0141208172, lr
icmp, 10.2414569855, lr
icmp, 12.2899279594, lr
icmp, 11.4312758446, lr
icmp, 11.4736549854, lr
icmp, 12.6059248447, lr
icmp, 8.09924316406, dt
icmp, 8.14667510986, dt
icmp, 9.31299805641, dt
icmp, 9.35775709152, dt
icmp, 9.52790999413, dt
icmp, 8.58985805511, dt
icmp, 9.72954511642, dt
icmp, 9.77570509911, dt
icmp, 8.9236741066, dt
icmp, 8.96330499649, dt
icmp, 7.95524597168, rf
icmp, 8.11563491821, rf
icmp, 8.58745598793, rf
icmp, 7.75376701355, rf
icmp, 8.19878292084, rf
icmp, 8.35220003128, rf
icmp, 7.81347489357, rf
icmp, 7.9727640152, rf
icmp, 8.43034791946, rf
icmp, 7.63845491409, rf
icmp, 7.6427218914, gb
icmp, 7.7405128479, gb
icmp, 8.05522298813, gb
icmp, 8.16378998756, gb
icmp, 8.16685900688, gb
icmp, 7.67909884453, gb
icmp, 7.98186087608, gb
icmp, 8.09016489983, gb
icmp, 7.99996805191, gb
icmp, 7.69335396767, gb
udp, 10.5395007079, knn
udp, 10.2185650849, knn
udp, 9.39778710063, knn
udp, 9.6550225789, knn
udp, 9.09173322595, knn
udp, 9.78399007138, knn
udp, 10.5561141313, knn
udp, 8.77101544869, knn
udp, 10.3046211783, knn
udp, 9.57553128415, knn
tcp, 9.24972771808, knn
tcp, 10.2541958657, knn
tcp, 10.0486829809, knn
tcp, 8.75242580593, knn
tcp, 10.1430167701, knn
tcp, 9.41617152112, knn
tcp, 9.50143718169, knn
tcp, 9.40900847915, knn
tcp, 9.54069241383, knn
tcp, 9.74503218512, knn
udp, 10.3470192295, lr
udp, 9.68981945904, lr
udp, 10.1589320081, lr
udp, 11.0881359657, lr
udp, 10.9437290502, lr
udp, 12.6616599644, lr
udp, 9.73920831855, lr
udp, 11.1735219965, lr
udp, 12.4167393658, lr
udp, 11.0268757517, lr
tcp, 12.0867347328, lr
tcp, 12.2137402632, lr
tcp, 11.17015285, lr
tcp, 11.2464131192, lr
tcp, 10.6846626716, lr
tcp, 10.2970233063, lr
tcp, 10.4018943558, lr
tcp, 12.0213417957, lr
tcp, 10.4906979762, lr
tcp, 10.0504496065, lr
udp, 9.78971808353, dt
udp, 9.08000117653, dt
udp, 9.26841899773, dt
udp, 8.61087693438, dt
udp, 9.26249728136, dt
udp, 9.86005982715, dt
udp, 8.09423479708, dt
udp, 9.33755657447, dt
udp, 8.51626935534, dt
udp, 9.09371405083, dt
tcp, 8.53209126529, dt
tcp, 8.72023793188, dt
tcp, 8.63887329321, dt
tcp, 8.71648330248, dt
tcp, 8.35484966884, dt
tcp, 8.88440339825, dt
tcp, 9.79053660288, dt
tcp, 9.46066242608, dt
tcp, 9.86716228209, dt
tcp, 9.69818358887, dt
udp, 8.4379156162, rf
udp, 8.15271997351, rf
udp, 8.27628854657, rf
udp, 8.21228805005, rf
udp, 7.92294492666, rf
udp, 8.07449876853, rf
udp, 8.34363043583, rf
udp, 8.11047748919, rf
udp, 7.79692957733, rf
udp, 8.316228957, rf
tcp, 7.66486736602, rf
tcp, 7.7099451271, rf
tcp, 8.30099728649, rf
tcp, 8.65736485902, rf
tcp, 8.64738689781, rf
tcp, 8.04583635123, rf
tcp, 8.68395902245, rf
tcp, 7.85431804857, rf
tcp, 8.54937688712, rf
tcp, 8.1894927349, rf
udp, 8.01365686132, gb
udp, 8.08258524848, gb
udp, 8.27426851019, gb
udp, 8.12576141037, gb
udp, 8.20459649171, gb
udp, 7.92851941053, gb
udp, 8.12908810374, gb
udp, 8.33560133391, gb
udp, 8.00696295728, gb
udp, 8.31847109175, gb
tcp, 7.77180105021, gb
tcp, 7.85951849102, gb
tcp, 8.09350599764, gb
tcp, 8.05782941387, gb
tcp, 8.05991875392, gb
tcp, 7.86712166657, gb
tcp, 8.33226784452, gb
tcp, 8.36867614982, gb
tcp, 8.00604801141, gb
tcp, 7.96596545762, gb
